,name,provider,domain,base_uri,download_url,syntax,added_when,last_modified,imports,count_uri
14,Foaf,Xmlns,Cross-Domain,http://xmlns.com/foaf/0.1,http://xmlns.com/foaf/spec/index.rdf,RDF/XML,2024-08-13,2024-08-15 19:52:10,"['http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/2003/06/sw-vocab-status/ns', 'http://xmlns.com/foaf/0.1', 'http://xmlns.com/wot/0.1', 'http://purl.org/dc/elements/1.1']",7.0
15,Vann,Ian Davis,Data,http://purl.org/vocab/vann,https://vocab.org/vann/vann-vocab-20100607.rdf,RDF/XML,2024-08-13,2024-08-15 19:52:10,"['http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/2002/07/owl', 'http://purl.org/vocab/bio/0.1', 'http://purl.org/dc/terms', 'http://purl.org/vocab/vann', 'http://purl.org/dc/terms', 'http://web.resource.org/cc', 'http://xmlns.com/foaf/0.1']",8.0
16,Vehicle,University Of Toronto,Transport,http://ontology.eil.utoronto.ca/icity/Vehicle,https://enterpriseintegrationlab.github.io/icity/Vehicle/Vehicle_1.2/doc/ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['http://ontology.eil.utoronto.ca/icity/Vehicle', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']",6.0
17,Schema.Org,Schema.Org,Cross-Domain,https://schema.org,https://schema.org/,RDF/XML,2024-08-13,2024-08-15 19:52:10,,
18,Data Quality,W3C,Data,http://www.w3.org/ns/dqv,https://raw.githubusercontent.com/w3c/dwbp/gh-pages/dqv.ttl,Turtle,2024-08-14,2024-08-15 19:52:10,"['http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2002/07/owl', 'http://purl.org/dc/terms', 'http://www.w3.org/2001/XMLSchema', 'http://purl.org/vocab/vann', 'http://xmlns.com/foaf/0.1', 'http://www.w3.org/2000/01/rdf-schema', 'http://purl.org/linked-data/cube', 'http://purl.org/eis/vocab/daq', 'http://purl.org/vocommons/voaf', 'http://www.w3.org/ns/oa', 'http://www.w3.org/ns/duv', 'http://www.w3.org/2004/02/skos/core', 'http://www.w3.org/ns/dqv']",14.0
19,Trip,University Of Toronto,Tourism,http://ontology.eil.utoronto.ca/icity/Trip,https://enterpriseintegrationlab.github.io/icity/Trip/doc/ontology.ttl,Turtle,2024-08-14,2024-08-15 19:52:10,"['http://ontology.eil.utoronto.ca/icity/Trip', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']",6.0
20,Organization,W3C,Cross-Domain,http://www.w3.org/ns/org,https://www.w3.org/ns/org.ttl,Turtle,2024-08-15,2024-08-15 19:52:10,"['http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2004/02/skos/core', 'http://xmlns.com/foaf/0.1', 'http://purl.org/dc/terms', 'http://purl.org/goodrelations/v1', 'http://www.w3.org/2006/time', 'http://www.w3.org/ns/org', 'http://www.w3.org/2006/vcard/ns', 'http://www.w3.org/ns/prov', 'http://www.w3.org/ns/org']",12.0
21,Opening Hours,Pieter Colpaert,Cross-Domain,http://semweb.mmlab.be/ns/oh,https://raw.githubusercontent.com/pietercolpaert/openinghoursontology/master/oh.ttl,Turtle,2024-08-15,2024-08-15 19:52:10,"['http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2002/07/owl', 'http://xmlns.com/foaf/0.1', 'http://semweb.mmlab.be/ns/oh', 'http://purl.org/dc/terms', 'http://www.w3.org/2001/XMLSchema', 'http://purl.org/vocommons/voaf', 'http://purl.org/vocab/vann']",9.0
22,Travel Cost,University Of Toronto,Mobility,http://ontology.eil.utoronto.ca/icity/TravelCost,https://enterpriseintegrationlab.github.io/icity/TravelCost/doc/ontology.ttl,Turtle,2024-08-15,2024-08-15 20:02:14,"['http://ontology.eil.utoronto.ca/icity/TravelCost', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']",6.0
23,Gtfs,Utel,Mobility,http://gtfs.org,https://raw.githubusercontent.com/UTEL-UIUC/GTFS_Ontology/main/GTFS_base.ttl,Turtle,2024-08-15,2024-08-15 20:40:04,"['http://purl.org/dc/elements/1.1', 'http://gtfs.org', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/2000/01/rdf-schema', 'http://schema.org', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema']",7.0
